extension (nm),average force (pN),sd force (pN),average bp unzipped, sd bp unzipped
1351,17.0298,0.390177,406.808,8.06939
1352,17.0385,0.392615,407.664,8.10566
1353,17.0471,0.391269,408.521,8.06384
1354,17.0563,0.386202,409.362,7.94568
1355,17.0669,0.377677,410.172,7.75705
1356,17.0797,0.366127,410.938,7.50724
1357,17.0949,0.352106,411.651,7.20797
1358,17.113,0.336238,412.304,6.8723
1359,17.1341,0.319167,412.895,6.51362
1360,17.1583,0.301517,413.424,6.14484
1361,17.1853,0.283868,413.894,5.77793
1362,17.215,0.266749,414.308,5.4238
1363,17.2472,0.250647,414.674,5.0925
1364,17.2815,0.23603,414.997,4.79381
1365,17.3175,0.223389,415.285,4.53805
1366,17.355,0.21329,415.545,4.33729
1367,17.3935,0.206437,415.785,4.20657
1368,17.4326,0.203733,416.015,4.16509
1369,17.4717,0.206314,416.246,4.2367
1370,17.5102,0.215528,416.492,4.44926
1371,17.5473,0.232857,416.771,4.83286
1372,17.5815,0.259806,417.11,5.41769
1373,17.6111,0.297797,417.547,6.23227
1374,17.6336,0.348046,418.136,7.30092
1375,17.6453,0.41128,418.952,8.63798
1376,17.6412,0.487173,420.098,10.2357
1377,17.6156,0.573362,421.698,12.0434
1378,17.562,0.664185,423.879,13.9417
1379,17.4763,0.749747,426.73,15.7227
1380,17.3592,0.816576,430.232,17.105
1381,17.2192,0.851072,434.202,17.8061
1382,17.0722,0.845054,438.305,17.6585
1383,16.9369,0.799891,442.155,16.6947
1384,16.8273,0.725748,445.456,15.1304
1385,16.7499,0.636616,448.079,13.2594
1386,16.7037,0.54509,450.046,11.3447
1387,16.6838,0.459725,451.465,9.56376
1388,16.6839,0.384959,452.466,8.00791
1389,16.6984,0.322229,453.167,6.70581
1390,16.7229,0.27121,453.66,5.64963
1391,16.7541,0.230735,454.014,4.81419
1392,16.79,0.199357,454.274,4.16887
1393,16.8288,0.17567,454.472,3.68418
1394,16.8697,0.158483,454.63,3.33575
1395,16.9118,0.146955,454.762,3.10704
1396,16.9547,0.14071,454.881,2.9921
1397,16.998,0.139968,454.994,2.99814
1398,17.0411,0.145647,455.112,3.14756
1399,17.0835,0.159401,455.249,3.47801
1400,17.1243,0.183551,455.423,4.04067
1401,17.162,0.220983,455.668,4.89838
1402,17.1941,0.275099,456.039,6.12533
1403,17.2164,0.349707,456.631,7.80492
1404,17.2218,0.448483,457.601,10.0175
1405,17.1992,0.573318,459.194,12.8032
1406,17.1331,0.720753,461.755,16.0825
1407,17.006,0.876397,465.669,19.5328
1408,16.8078,1.01066,471.151,22.4953
1409,16.5507,1.08456,477.926,24.1076
1410,16.2747,1.07107,485.094,23.7775
1411,16.0307,0.975886,491.534,21.6422
1412,15.8508,0.832893,496.534,18.4602
1413,15.7391,0.680079,500.013,15.0756
1414,15.6821,0.542521,502.278,12.0419
1415,15.6626,0.430714,503.712,9.58803
1416,15.6665,0.345825,504.626,7.73552
1417,15.6845,0.284662,505.233,6.40925
1418,15.7106,0.242532,505.661,5.5011
1419,15.7413,0.214612,505.985,4.90147
1420,15.7749,0.19665,506.25,4.51537
1421,15.81,0.185303,506.481,4.2698
1422,15.8461,0.178209,506.69,4.1142
1423,15.8828,0.173837,506.887,4.01636
1424,15.92,0.171263,507.077,3.95702
1425,15.9573,0.169954,507.262,3.92526
1426,15.9948,0.169623,507.446,3.91517
1427,16.0323,0.170119,507.629,3.92371
1428,16.0698,0.171374,507.815,3.9495
1429,16.1073,0.173361,508.003,3.992
1430,16.1445,0.17608,508.197,4.05119
1431,16.1815,0.179539,508.397,4.12726
1432,16.2182,0.183757,508.606,4.22058
1433,16.2545,0.188753,508.826,4.33158
1434,16.2902,0.194553,509.058,4.4608
1435,16.3254,0.201187,509.305,4.60895
1436,16.3598,0.208694,509.57,4.7769
1437,16.3933,0.217124,509.855,4.96589
1438,16.4259,0.226546,510.165,5.17758
1439,16.4572,0.237056,510.503,5.41432
1440,16.4871,0.248783,510.874,5.67934
1441,16.5154,0.261907,511.283,5.97704
1442,16.5416,0.276669,511.738,6.31335
1443,16.5655,0.293384,512.248,6.69599
1444,16.5865,0.312451,512.824,7.1347
1445,16.6041,0.334349,513.482,7.64112
1446,16.6172,0.359618,514.239,8.22819
1447,16.625,0.38879,515.121,8.90863
1448,16.626,0.422279,516.158,9.69223
1449,16.6186,0.460196,517.39,10.5814
1450,16.6009,0.502094,518.858,11.5655
1451,16.5711,0.54668,520.606,12.6136
1452,16.5276,0.591562,522.671,13.6695
1453,16.4698,0.63319,525.068,14.6497
1454,16.3984,0.667164,527.776,15.4514
1455,16.3164,0.689008,530.727,15.97
1456,16.2288,0.695299,533.805,16.1259
1457,16.1418,0.684707,536.867,15.8885
1458,16.0615,0.658447,539.768,15.2862
1459,15.9929,0.619875,542.395,14.3976
1460,15.9387,0.57348,544.684,13.3275
1461,15.8997,0.52378,546.619,12.181
1462,15.875,0.474537,548.22,11.0456
1463,15.8627,0.428439,549.531,9.98401
1464,15.8609,0.387125,550.601,9.03408
1465,15.8672,0.351393,551.479,8.21429
1466,15.88,0.32145,552.21,7.52927
1467,15.8976,0.297128,552.829,6.97488
1468,15.9188,0.278041,553.365,6.54192
1469,15.9426,0.263696,553.842,6.21869
1470,15.9682,0.253563,554.278,5.99267
1471,15.995,0.247118,554.688,5.85154
1472,16.0225,0.243873,555.083,5.78386
1473,16.0502,0.243388,555.473,5.77942
1474,16.0779,0.245279,555.866,5.82933
1475,16.1053,0.249215,556.268,5.92599
1476,16.1319,0.254914,556.687,6.06287
1477,16.1578,0.262127,557.127,6.23423
1478,16.1825,0.270627,557.595,6.43481
1479,16.2058,0.280194,558.094,6.65949
1480,16.2276,0.290603,558.631,6.90296
1481,16.2478,0.30161,559.208,7.15945
1482,16.266,0.312943,559.829,7.42254
1483,16.2823,0.324298,560.496,7.68502
1484,16.2967,0.335337,561.211,7.93893
1485,16.309,0.345697,561.971,8.17569
1486,16.3194,0.354998,562.775,8.38641
1487,16.3281,0.362865,563.619,8.56236
1488,16.3355,0.36895,564.494,8.69551
1489,16.3418,0.37296,565.392,8.77913
1490,16.3475,0.374678,566.303,8.80839
1491,16.353,0.373986,567.215,8.78079
1492,16.359,0.370875,568.117,8.69639
1493,16.3659,0.365445,568.996,8.55782
1494,16.374,0.357894,569.844,8.37003
1495,16.3838,0.348503,570.65,8.13981
1496,16.3956,0.337608,571.41,7.87525
1497,16.4096,0.325576,572.119,7.58506
1498,16.4258,0.312779,572.775,7.27804
1499,16.4443,0.299573,573.377,6.96255
1500,16.465,0.286283,573.928,6.64621
1501,16.4878,0.273197,574.429,6.33565
1502,16.5126,0.260554,574.885,6.03645
1503,16.5392,0.248552,575.299,5.75309
1504,16.5674,0.237346,575.676,5.48909
1505,16.5971,0.227053,576.019,5.24709
1506,16.628,0.21776,576.335,5.02899
1507,16.6601,0.209528,576.625,4.83609
1508,16.6931,0.202397,576.895,4.66922
1509,16.7269,0.196394,577.148,4.52888
