extension (nm),average force (pN),sd force (pN),average bp unzipped, sd bp unzipped
5243,16.8845,0.10612,4443.33,7.80175
5244,16.8951,0.102659,4443.57,7.5412
5245,16.9059,0.0993439,4443.8,7.29178
5246,16.917,0.096174,4444.01,7.0534
5247,16.9282,0.0931476,4444.22,6.82591
5248,16.9396,0.0902622,4444.4,6.6091
5249,16.9512,0.0875146,4444.58,6.40271
5250,16.9629,0.0849009,4444.75,6.20642
5251,16.9748,0.0824168,4444.9,6.01988
5252,16.9868,0.0800575,4445.05,5.84273
5253,16.999,0.0778182,4445.19,5.67458
5254,17.0112,0.0756937,4445.32,5.51503
5255,17.0236,0.0736787,4445.45,5.36368
5256,17.0361,0.0717679,4445.56,5.22011
5257,17.0486,0.069956,4445.67,5.08392
5258,17.0613,0.0682377,4445.78,4.95472
5259,17.074,0.0666079,4445.88,4.83211
5260,17.0868,0.0650615,4445.98,4.7157
5261,17.0997,0.0635936,4446.07,4.60513
5262,17.1127,0.0621995,4446.16,4.50004
5263,17.1257,0.0608747,4446.24,4.40009
5264,17.1388,0.0596147,4446.32,4.30496
5265,17.1519,0.0584154,4446.4,4.21434
5266,17.1651,0.057273,4446.47,4.12793
5267,17.1784,0.0561836,4446.54,4.04545
5268,17.1917,0.0551437,4446.61,3.96665
5269,17.205,0.0541501,4446.68,3.89128
5270,17.2184,0.0531995,4446.74,3.8191
5271,17.2319,0.0522892,4446.8,3.74991
5272,17.2454,0.0514163,4446.86,3.6835
5273,17.2589,0.0505783,4446.92,3.61969
5274,17.2725,0.0497728,4446.97,3.5583
5275,17.2861,0.0489977,4447.03,3.49916
5276,17.2997,0.0482509,4447.08,3.44214
5277,17.3134,0.0475304,4447.13,3.38709
5278,17.3271,0.0468347,4447.18,3.33388
5279,17.3408,0.0461619,4447.22,3.28239
5280,17.3546,0.0455107,4447.27,3.23252
5281,17.3684,0.0448796,4447.31,3.18417
5282,17.3823,0.0442674,4447.36,3.13723
5283,17.3962,0.043673,4447.4,3.09164
5284,17.4101,0.0430951,4447.44,3.0473
5285,17.424,0.0425329,4447.48,3.00414
5286,17.438,0.0419854,4447.52,2.96211
5287,17.452,0.0414518,4447.56,2.92113
5288,17.466,0.0409313,4447.59,2.88115
5289,17.48,0.0404232,4447.63,2.84212
5290,17.4941,0.0399268,4447.66,2.80399
5291,17.5082,0.0394416,4447.7,2.76671
5292,17.5224,0.038967,4447.73,2.73026
5293,17.5365,0.0385026,4447.76,2.69458
5294,17.5507,0.0380477,4447.79,2.65965
5295,17.5649,0.0376021,4447.82,2.62544
5296,17.5791,0.0371652,4447.85,2.59191
5297,17.5934,0.0367368,4447.88,2.55904
5298,17.6077,0.0363166,4447.91,2.5268
5299,17.622,0.0359041,4447.94,2.49518
5300,17.6363,0.0354992,4447.97,2.46414
5301,17.6507,0.0351016,4447.99,2.43367
5302,17.665,0.034711,4448.02,2.40376
5303,17.6795,0.0343272,4448.04,2.37438
5304,17.6939,0.03395,4448.07,2.34552
5305,17.7083,0.0335792,4448.09,2.31716
5306,17.7228,0.0332147,4448.12,2.2893
5307,17.7373,0.0328562,4448.14,2.26192
5308,17.7518,0.0325036,4448.16,2.235
5309,17.7663,0.0321568,4448.18,2.20853
5310,17.7809,0.0318156,4448.21,2.18251
5311,17.7955,0.0314799,4448.23,2.15693
5312,17.8101,0.0311496,4448.25,2.13177
5313,17.8247,0.0308246,4448.27,2.10703
5314,17.8394,0.0305048,4448.29,2.0827
5315,17.854,0.03019,4448.31,2.05876
5316,17.8687,0.0298802,4448.33,2.03522
5317,17.8834,0.0295753,4448.34,2.01207
5318,17.8982,0.0292752,4448.36,1.98929
5319,17.9129,0.0289798,4448.38,1.96689
5320,17.9277,0.0286891,4448.4,1.94485
5321,17.9425,0.028403,4448.41,1.92317
5322,17.9573,0.0281214,4448.43,1.90184
5323,17.9721,0.0278442,4448.45,1.88086
5324,17.987,0.0275713,4448.46,1.86023
5325,18.0019,0.0273028,4448.48,1.83993
5326,18.0168,0.0270386,4448.49,1.81996
5327,18.0317,0.0267785,4448.51,1.80032
